"№","Област","Община","Нас. място","Код","Училище","Код на паралелката","Име","Тип","Профил/специалност","Балообразуване","Код на професията","Наименование на професията","Код на специалност от професия","Степен на професионална квалификация","Защитена професия","Професия с очакван недостиг","Форма на обучение","Срок на обучение","Брой паралелки","Общо основание","Мъже","Жени","Чужд език","Начин на изучаване"
"187","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","2217","Електрообзавеждане на транспортна техника","професионална","Електрообзавеждане на транспортна техника","(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ)","522020","Електромонтьор","5220207","Втора степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"188","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","2219","Производство на хляб, хлебни и сладкарски изделия","професионална","Производство на хляб, хлебни и сладкарски изделия","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС)","541010","Техник - технолог в хранително - вкусовата промишленост","5410102","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"189","ПЛОВДИВ","РАКОВСКИ","ГР.РАКОВСКИ","1602511","Професионална гимназия  ""Петър Парчевич"", ГР.РАКОВСКИ","4754","Спедиция,транспортна и складова логистика","професионална","Спедиция, транспортна и складова логистика","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","840110","Спедитор - логистик","8401101","Трета степен","Не","Да","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"190","ПЛОВДИВ","РАКОВСКИ","С.БЕЛОЗЕМ","1602510","Професионална гимназия по селско стопанство, С.БЕЛОЗЕМ","4347","Механизация на селското стопанство","професионална","Механизация на селското стопанство","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"191","ПЛОВДИВ","РАКОВСКИ","С.БЕЛОЗЕМ","1602510","Професионална гимназия по селско стопанство, С.БЕЛОЗЕМ","4920","Икономическа информатика","професионална","Икономическа информатика","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","482010","Икономист - информатик","4820101","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"192","ПЛОВДИВ","РАКОВСКИ","С.БЕЛОЗЕМ","1602510","Професионална гимназия по селско стопанство, С.БЕЛОЗЕМ","4923","Технология в биопроизводствата","професионална","Технология в биопроизводствата","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","524020","Биотехнолог","5240201","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"193","ПЛОВДИВ","САДОВО","ГР.САДОВО","1602810","Професионална селскостопанска гимназия ""Димитър Наумов"", ГР.САДОВО","2037","Механизация на селското стопанство, Техник на ССТ","професионална","Механизация на селското стопанство","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)","621070","Техник на селскостопанска техника","6210701","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"194","ПЛОВДИВ","САДОВО","ГР.САДОВО","1602810","Професионална селскостопанска гимназия ""Димитър Наумов"", ГР.САДОВО","2047","Агроеколог","професионална","Агроекология","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО)","621140","Агроеколог","6211401","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"195","ПЛОВДИВ","САДОВО","ГР.САДОВО","1602810","Професионална селскостопанска гимназия ""Димитър Наумов"", ГР.САДОВО","3889","Техник - растениевъд","професионална","Трайни насаждения","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * БЗО)","621010","Техник-растениевъд","6210103","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"196","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1119","Системнo програмиране с разширено изучаване на АЕ","професионална","Системно програмиране","(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ)","481020","Системен програмист","4810201","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
